country,country_code,year,ewaste_recycling_rate_pct,population,gdp_current_usd
Slovakia,SVK,2011,86.6,5398384.0,99705104723.4341
Slovakia,SVK,2012,87.8,5407579.0,94724394278.052
Slovakia,SVK,2013,85.1,5413393.0,99134277850.3418
Slovakia,SVK,2014,90.7,5418649.0,101713075598.862
Slovakia,SVK,2015,86.7,5423801.0,89178548717.3324
Slovakia,SVK,2016,89.4,5430798.0,90347173228.6356
Slovakia,SVK,2017,88.6,5439232.0,95978130734.9766
Slovakia,SVK,2018,88.9,5446771.0,106611673364.837
Slovenia,SVN,2010,78.5,2048583.0,47793117240.9001
Slovenia,SVN,2011,75.1,2052843.0,51199194599.3094
Slovenia,SVN,2012,79.7,2057159.0,46167053954.3367
Slovenia,SVN,2013,51.0,2059953.0,47867056858.8892
Slovenia,SVN,2014,81.6,2061980.0,49514466379.6057
Slovenia,SVN,2015,86.2,2063531.0,42709468274.8137
Slovenia,SVN,2016,75.8,2065042.0,44290685824.0682
Slovenia,SVN,2017,86.9,2066388.0,48153200134.6613
Slovenia,SVN,2018,84.6,2073894.0,53689067639.9176
Spain,ESP,2010,67.4,46576897.0,1427989078916.67
Spain,ESP,2011,80.3,46742697.0,1487568659241.25
Spain,ESP,2012,84.5,46773055.0,1330994811670.31
Spain,ESP,2013,82.0,46604197.0,1362186923157.65
Spain,ESP,2014,76.9,46460733.0,1380244561361.96
Spain,ESP,2015,75.7,46422303.0,1206164777553.12
Spain,ESP,2016,87.8,46458139.0,1243015667917.12
Spain,ESP,2017,83.1,46571232.0,1321754088818.83
Spain,ESP,2018,86.2,46782011.0,1431642809327.06
Sweden,SWE,2010,83.9,9378126.0,492753255885.718
Sweden,SWE,2011,83.6,9449213.0,570541353128.724
Sweden,SWE,2012,84.3,9519374.0,549742183874.355
Sweden,SWE,2013,83.7,9600379.0,584128116410.29
Sweden,SWE,2014,84.1,9696110.0,577730245154.162
Sweden,SWE,2015,83.6,9799186.0,501698263620.663
Sweden,SWE,2016,83.4,9923085.0,514218206628.325
Sweden,SWE,2017,83.5,10057698.0,536083940228.684
Sweden,SWE,2018,83.3,10175214.0,551312498430.164
United Kingdom,GBR,2014,80.6,64620000.0,3064708247921.43
United Kingdom,GBR,2015,80.9,65088000.0,2927911140916.73
United Kingdom,GBR,2016,81.6,65607000.0,2689106566899.61
United Kingdom,GBR,2017,82.1,65966000.0,2680148052335.3
United Kingdom,GBR,2018,86.2,66289000.0,2871340347581.79
