country,country_code,year,material,recovered_material_tonnes,documented_recycled_tonnes,e_waste_generated_tonnes,recycling_rate_pct
Estonia,EST,2013,gold,,,,66.0
Estonia,EST,2014,gold,,,,85.1
Estonia,EST,2015,gold,,,,86.7
Estonia,EST,2016,gold,,,,86.7
Estonia,EST,2017,gold,,,,85.7
Estonia,EST,2018,gold,,,,85.7
Finland,FIN,2010,gold,,,,88.5
Finland,FIN,2011,gold,,,,89.1
Finland,FIN,2012,gold,,,,89.4
Finland,FIN,2013,gold,,,,87.9
Finland,FIN,2014,gold,,,,87.8
Finland,FIN,2015,gold,,,,92.5
Finland,FIN,2016,gold,,,,88.9
Finland,FIN,2017,gold,,,,90.0
Finland,FIN,2018,gold,,,,89.7
France,FRA,2010,gold,,,,77.4
France,FRA,2011,gold,,,,77.9
France,FRA,2012,gold,,,,76.7
France,FRA,2013,gold,,,,78.7
France,FRA,2014,gold,,,,80.8
France,FRA,2015,gold,,,,81.9
France,FRA,2016,gold,,,,81.9
France,FRA,2017,gold,,,,81.9
France,FRA,2018,gold,,,,74.2
Germany,DEU,2010,gold,,,,82.8
Germany,DEU,2011,gold,,,,83.9
Germany,DEU,2012,gold,,,,83.5
Germany,DEU,2013,gold,,,,82.8
Germany,DEU,2014,gold,,,,84.2
Germany,DEU,2015,gold,,,,79.3
Germany,DEU,2016,gold,,,,86.7
Germany,DEU,2017,gold,,,,85.8
Germany,DEU,2018,gold,,,,85.6
Greece,GRC,2010,gold,,,,98.0
Greece,GRC,2011,gold,,,,90.9
Greece,GRC,2012,gold,,,,90.2
Greece,GRC,2013,gold,,,,90.6
Greece,GRC,2014,gold,,,,84.0
Greece,GRC,2015,gold,,,,89.6
Greece,GRC,2016,gold,,,,85.4
Greece,GRC,2017,gold,,,,78.8
Greece,GRC,2018,gold,,,,80.7
Hungary,HUN,2010,gold,,,,82.3
Hungary,HUN,2011,gold,,,,87.7
Hungary,HUN,2012,gold,,,,81.5
Hungary,HUN,2013,gold,,,,87.7
Hungary,HUN,2014,gold,,,,87.0
Hungary,HUN,2015,gold,,,,83.3
Hungary,HUN,2016,gold,,,,84.0
Hungary,HUN,2017,gold,,,,84.2
Hungary,HUN,2018,gold,,,,83.5
Hungary,HUN,2019,gold,,,,68.12
Hungary,HUN,2020,gold,,,,68.13
Iceland,ISL,2010,gold,,,,66.6
Iceland,ISL,2011,gold,,,,71.3
Iceland,ISL,2012,gold,,,,73.8
Iceland,ISL,2013,gold,,,,63.8
Iceland,ISL,2014,gold,,,,73.7
Iceland,ISL,2015,gold,,,,76.2
Iceland,ISL,2016,gold,,,,79.2
Iceland,ISL,2017,gold,,,,92.0
Iceland,ISL,2018,gold,,,,90.4
Iceland,ISL,2020,gold,,,,91.92
Ireland,IRL,2010,gold,,,,80.3
Ireland,IRL,2011,gold,,,,82.1
Ireland,IRL,2012,gold,,,,83.4
Ireland,IRL,2013,gold,,,,83.3
Ireland,IRL,2014,gold,,,,83.7
Ireland,IRL,2015,gold,,,,83.2
Ireland,IRL,2016,gold,,,,85.1
Ireland,IRL,2017,gold,,,,83.8
Ireland,IRL,2018,gold,,,,82.9
Italy,ITA,2010,gold,,,,86.2
Italy,ITA,2011,gold,,,,93.1
Italy,ITA,2012,gold,,,,80.0
Italy,ITA,2013,gold,,,,88.0
Italy,ITA,2014,gold,,,,82.3
Italy,ITA,2015,gold,,,,85.7
Italy,ITA,2017,gold,,,,88.9
Italy,ITA,2018,gold,,,,84.3
Latvia,LVA,2010,gold,,,,84.6
Latvia,LVA,2011,gold,,,,81.5
Latvia,LVA,2012,gold,,,,83.6
Latvia,LVA,2013,gold,,,,90.3
Latvia,LVA,2014,gold,,,,90.3
Latvia,LVA,2015,gold,,,,82.2
Latvia,LVA,2016,gold,,,,88.5
Latvia,LVA,2017,gold,,,,80.8
Latvia,LVA,2018,gold,,,,81.4
Liechtenstein,LIE,2010,gold,,,,100.0
Liechtenstein,LIE,2011,gold,,,,75.0
Liechtenstein,LIE,2012,gold,,,,75.0
Liechtenstein,LIE,2013,gold,,,,75.0
Liechtenstein,LIE,2014,gold,,,,75.0
Liechtenstein,LIE,2015,gold,,,,73.0
Liechtenstein,LIE,2016,gold,,,,73.0
Liechtenstein,LIE,2017,gold,,,,73.0
Liechtenstein,LIE,2018,gold,,,,73.0
Lithuania,LTU,2010,gold,,,,72.4
Lithuania,LTU,2011,gold,,,,70.3
Lithuania,LTU,2012,gold,,,,68.7
Lithuania,LTU,2013,gold,,,,69.5
Lithuania,LTU,2014,gold,,,,75.7
Lithuania,LTU,2015,gold,,,,80.7
Lithuania,LTU,2016,gold,,,,82.3
Lithuania,LTU,2017,gold,,,,82.2
Luxembourg,LUX,2010,gold,,,,85.7
Luxembourg,LUX,2011,gold,,,,86.0
Luxembourg,LUX,2012,gold,,,,86.8
Luxembourg,LUX,2013,gold,,,,87.6
Luxembourg,LUX,2014,gold,,,,88.0
Luxembourg,LUX,2015,gold,,,,86.9
Luxembourg,LUX,2016,gold,,,,87.4
Luxembourg,LUX,2017,gold,,,,89.1
Luxembourg,LUX,2018,gold,,,,88.0
Luxembourg,LUX,2019,gold,,,,60.12
Luxembourg,LUX,2020,gold,,,,61.85
Malta,MLT,2010,gold,,,,56.4
Malta,MLT,2011,gold,,,,122.8
Malta,MLT,2012,gold,,,,71.7
Malta,MLT,2013,gold,,,,97.5
Malta,MLT,2014,gold,,,,107.1
Malta,MLT,2015,gold,,,,65.1
Malta,MLT,2016,gold,,,,103.4
Malta,MLT,2017,gold,,,,72.1
Netherlands,NLD,2010,gold,,,,79.9
Netherlands,NLD,2011,gold,,,,81.8
Netherlands,NLD,2012,gold,,,,83.0
Netherlands,NLD,2013,gold,,,,83.1
Netherlands,NLD,2014,gold,,,,82.4
Netherlands,NLD,2015,gold,,,,82.1
Netherlands,NLD,2016,gold,,,,80.9
Netherlands,NLD,2017,gold,,,,81.6
